page,table,mutual_fund_name,main_scheme_name,portfolio_data_0,portfolio_data_1,monthly_aaum_value,empty_col
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Persistent Systems Ltd,1.39%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,TRENT Ltd,1.37%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Others,37.76%,"13,008.32",


8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,PORTFOLIO AS ON 27-Feb-2026,,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,SECURITIES,HOLDINGS,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,MONEY MARKET INSTRUMENTS & NCA,0.43%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,SECURITIES,HOLDINGS,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,EQUITY,99.57%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,HDFC Bank Ltd,7.23%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Reliance Industries Ltd,6.61%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,ICICI Bank Ltd,5.49%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Infosys Technologies Ltd.,4.21%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Tata Consultancy Services Ltd,3.46%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Fusion Finance Ltd,3.02%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,SBI-ETF Nifty Bank,3.01%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Kotak Nifty PSU Bank ETF,3.01%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Axis Bank Ltd,2.96%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,State Bank of India,2.95%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,ICICI Prudential Nifty Bank ETF - NIFTY BANK INDEX,2.81%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,UTI Nifty Bank ETF,2.76%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,ITC Ltd,2.70%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Bharti Airtel Ltd. (Partly Paid),1.82%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Hindustan Petroleum Corporation Ltd,1.81%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Mirae Asset Mutual Fund-Mirae Asset Nifty Financial Service,1.77%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Genus Power Infrastrucure Ltd,1.69%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Mahindra And Mahindra Ltd,1.68%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,UltraTech Cement Ltd,1.63%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Kotak Mahindra Bank Ltd,1.54%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Anant Raj Ltd,1.43%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,IndusInd Bank Ltd,1.42%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Max Healthcare Institute Ltd,1.38%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,ETERNAL Ltd (Zomato Ltd),1.36%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Swiggy Ltd,1.36%,"6,029.40",
8,tbl_0,Generali Central Life Insurance Fund,FUTURE OPPORTUNITY FUND,Others,30.47%,"6,029.40",


9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,PORTFOLIO AS ON 27-Feb-2026,,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,SECURITIES,HOLDINGS,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,MONEY MARKET INSTRUMENTS & NCA,0.31%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,SECURITIES,HOLDINGS,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,EQUITY,99.69%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,HDFC Bank Ltd,7.47%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Reliance Industries Ltd,6.54%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,ICICI Bank Ltd,5.35%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Kotak Nifty PSU Bank ETF,4.85%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Infosys Technologies Ltd.,4.12%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,SBI-ETF Nifty Bank,3.84%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Axis Bank Ltd,3.05%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,State Bank of India,3.04%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Fusion Finance Ltd,3.03%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Tata Consultancy Services Ltd,2.92%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Nagarjuna Construction Co. Ltd,2.41%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Kotak Mahindra Bank Ltd,2.26%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,ITC Ltd,2.15%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Genus Power Infrastrucure Ltd,1.81%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Mahindra And Mahindra Ltd,1.79%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,UltraTech Cement Ltd,1.63%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Hindustan Petroleum Corporation Ltd,1.62%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,TRENT Ltd,1.58%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Anant Raj Ltd,1.55%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,UTI Nifty Bank ETF,1.52%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,IndusInd Bank Ltd,1.43%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Max Healthcare Institute Ltd,1.33%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,ETERNAL Ltd (Zomato Ltd),1.33%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Swiggy Ltd,1.32%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,PB FINTECH Ltd,1.26%,388.79,
9,tbl_0,Generali Central Life Insurance Fund,FUTURE DYNAMIC GROWTH FUND,Others,30.47%,388.79,


10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,PORTFOLIO AS ON 27-Feb-2026,,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,SECURITIES,HOLDINGS,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,MONEY MARKET INSTRUMENTS & NCA,0.45%,463.36,
