mutual_fund_name,main_scheme_name,sfin,monthly_aum_value,aum_in_mil,portfolio_data_0,portfolio_data_1,page,table
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,4 7.09% GOICg 05-08-2054,1.74%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,5 7.18% Maharashtra Sdl 10-09-2033 Sgs,0.66%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,6 7.47% Gujrat Sdl 28-01-2036 Sgs,0.62%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,7 7.37% GOI CG 23-01-2054 SGRB,0.55%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,8 6.61% Gujrat Sdl 07-05-2032 Sgs,0.44%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,9 7.40% GOICg 09-09-2035,0.37%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,7.29% GOI CG 27-01-2033 SGRB,0.37%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,Others,3.34%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,Total,16.22%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,Money Market,1.63%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,Grand Total,100%,8,tbl_0


SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,ASSET CATEGORY,,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,Equity,% of AUM,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,1 HDFC Bank Ltd.,7.34%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,2 ICICI Bank Ltd,6.91%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,3 Reliance Industries Ltd.,6.16%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,4 Bharti Airtel Ltd.,3.64%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,5 Larsen & Toubro Ltd.,3.63%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,6 Kotak PSU Bank ETF,2.78%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,7 Infosys Limited,2.75%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,8 Axis Bank Ltd.,2.67%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,9 Mahindra & Mahindra Ltd.,2.15%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,Kotak Mahindra Bank Ltd. Fv-1,1.91%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,Others,40.77%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,Total,80.72%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,Corporate Debt,% of AUM,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,1 7.99% Mankind Pharma Ltd. B & D 16-10-2026,1.91%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,2 7.51% Rec Limited B & D 31-07-2026 221,1.91%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,3 Hsbc Liquid Fund Direct Plan,0.97%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,4 Axis Liquid Fund - Direct Plan - Growth Option,0.96%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,5 7.64% PFC B & D 25-08-2026,0.96%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,6 7.23% IRFC B & D 15-10-2026 171,0.96%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,7 7.56% REC Limited B & D 30-06-2026 218-A,0.96%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,8 8.03% PFC B & D 02-05-2026 147,0.96%,9,tbl_0
